"covariate_id","covariate_name_short","location_id","location_name","year_id","age_group_id","age_group_name","sex_id","sex","mean_value"
1211,"alc_gday_cont",130,"Mexico",1990,27,"Age-standardized",1,"Male",8.696242315
1211,"alc_gday_cont",130,"Mexico",1990,27,"Age-standardized",2,"Female",3.46624938
1211,"alc_gday_cont",4643,"Aguascalientes",1990,27,"Age-standardized",1,"Male",3.039077466
1211,"alc_gday_cont",4643,"Aguascalientes",1990,27,"Age-standardized",2,"Female",12.77260077
1211,"alc_gday_cont",4644,"Baja California",1990,27,"Age-standardized",1,"Male",12.329131984
1211,"alc_gday_cont",4644,"Baja California",1990,27,"Age-standardized",2,"Female",3.168453434
1211,"alc_gday_cont",4645,"Baja California Sur",1990,27,"Age-standardized",1,"Male",11.481998973
1211,"alc_gday_cont",4645,"Baja California Sur",1990,27,"Age-standardized",2,"Female",2.740763131
1211,"alc_gday_cont",4646,"Campeche",1990,27,"Age-standardized",1,"Male",16.836596027
1211,"alc_gday_cont",4646,"Campeche",1990,27,"Age-standardized",2,"Female",4.300498124
1211,"alc_gday_cont",4647,"Coahuila",1990,27,"Age-standardized",1,"Male",10.3883262464
1211,"alc_gday_cont",4647,"Coahuila",1990,27,"Age-standardized",2,"Female",2.4275532156
1211,"alc_gday_cont",4648,"Colima",1990,27,"Age-standardized",1,"Male",9.946806299
1211,"alc_gday_cont",4648,"Colima",1990,27,"Age-standardized",2,"Female",2.602184576
1211,"alc_gday_cont",4649,"Chiapas",1990,27,"Age-standardized",1,"Male",8.6893557861
1211,"alc_gday_cont",4649,"Chiapas",1990,27,"Age-standardized",2,"Female",1.9425409349
1211,"alc_gday_cont",4650,"Chihuahua",1990,27,"Age-standardized",1,"Male",12.575948891
1211,"alc_gday_cont",4650,"Chihuahua",1990,27,"Age-standardized",2,"Female",5.156661531
1211,"alc_gday_cont",4651,"Mexico City",1990,27,"Age-standardized",1,"Male",6.844184268
1211,"alc_gday_cont",4651,"Mexico City",1990,27,"Age-standardized",2,"Female",1.954358482
1211,"alc_gday_cont",4652,"Durango",1990,27,"Age-standardized",1,"Male",10.773919534
1211,"alc_gday_cont",4652,"Durango",1990,27,"Age-standardized",2,"Female",2.759532724
1211,"alc_gday_cont",4653,"Guanajuato",1990,27,"Age-standardized",1,"Male",10.3817568202
1211,"alc_gday_cont",4653,"Guanajuato",1990,27,"Age-standardized",2,"Female",1.877669295
1211,"alc_gday_cont",4654,"Guerrero",1990,27,"Age-standardized",1,"Male",1.951345787
1211,"alc_gday_cont",4654,"Guerrero",1990,27,"Age-standardized",2,"Female",8.160324864
1211,"alc_gday_cont",4655,"Hidalgo",1990,27,"Age-standardized",1,"Male",3.7839917815
1211,"alc_gday_cont",4655,"Hidalgo",1990,27,"Age-standardized",2,"Female",2.5036088191
1211,"alc_gday_cont",4656,"Jalisco",1990,27,"Age-standardized",1,"Male",9.472656566
1211,"alc_gday_cont",4656,"Jalisco",1990,27,"Age-standardized",2,"Female",2.536498119
1211,"alc_gday_cont",4657,"México",1990,27,"Age-standardized",1,"Male",6.63788572
1211,"alc_gday_cont",4657,"México",1990,27,"Age-standardized",2,"Female",1.6954778273
1211,"alc_gday_cont",4658,"Michoacán de Ocampo",1990,27,"Age-standardized",1,"Male",9.624857198
1211,"alc_gday_cont",4658,"Michoacán de Ocampo",1990,27,"Age-standardized",2,"Female",2.10269571
1211,"alc_gday_cont",4659,"Morelos",1990,27,"Age-standardized",1,"Male",5.6183693681
1211,"alc_gday_cont",4659,"Morelos",1990,27,"Age-standardized",2,"Female",1.6475776583
1211,"alc_gday_cont",4660,"Nayarit",1990,27,"Age-standardized",1,"Male",2.180817012
1211,"alc_gday_cont",4660,"Nayarit",1990,27,"Age-standardized",2,"Female",9.121632723
1211,"alc_gday_cont",4661,"Nuevo León",1990,27,"Age-standardized",1,"Male",11.683529125
1211,"alc_gday_cont",4661,"Nuevo León",1990,27,"Age-standardized",2,"Female",4.041444411
1211,"alc_gday_cont",4662,"Oaxaca",1990,27,"Age-standardized",1,"Male",19.158708981
1211,"alc_gday_cont",4662,"Oaxaca",1990,27,"Age-standardized",2,"Female",9.417101614
1211,"alc_gday_cont",4663,"Puebla",1990,27,"Age-standardized",1,"Male",5.3700970124
1211,"alc_gday_cont",4663,"Puebla",1990,27,"Age-standardized",2,"Female",3.0338504649
1211,"alc_gday_cont",4664,"Querétaro",1990,27,"Age-standardized",1,"Male",9.5013896642
1211,"alc_gday_cont",4664,"Querétaro",1990,27,"Age-standardized",2,"Female",1.6971013577
1211,"alc_gday_cont",4665,"Quintana Roo",1990,27,"Age-standardized",1,"Male",2.237527657
1211,"alc_gday_cont",4665,"Quintana Roo",1990,27,"Age-standardized",2,"Female",9.369871713
1211,"alc_gday_cont",4666,"San Luis Potosí",1990,27,"Age-standardized",1,"Male",8.910190398
1211,"alc_gday_cont",4666,"San Luis Potosí",1990,27,"Age-standardized",2,"Female",1.3924284523
1211,"alc_gday_cont",4667,"Sinaloa",1990,27,"Age-standardized",1,"Male",12.00701923
1211,"alc_gday_cont",4667,"Sinaloa",1990,27,"Age-standardized",2,"Female",2.701915544
1211,"alc_gday_cont",4668,"Sonora",1990,27,"Age-standardized",1,"Male",15.126514044
1211,"alc_gday_cont",4668,"Sonora",1990,27,"Age-standardized",2,"Female",4.05065888
1211,"alc_gday_cont",4669,"Tabasco",1990,27,"Age-standardized",1,"Male",11.178924498
1211,"alc_gday_cont",4669,"Tabasco",1990,27,"Age-standardized",2,"Female",2.506421328
1211,"alc_gday_cont",4670,"Tamaulipas",1990,27,"Age-standardized",1,"Male",8.336472401
1211,"alc_gday_cont",4670,"Tamaulipas",1990,27,"Age-standardized",2,"Female",4.703384824
1211,"alc_gday_cont",4671,"Tlaxcala",1990,27,"Age-standardized",1,"Male",4.015677662
1211,"alc_gday_cont",4671,"Tlaxcala",1990,27,"Age-standardized",2,"Female",16.852800811
1211,"alc_gday_cont",4672,"Veracruz de Ignacio de la Llave",1990,27,"Age-standardized",1,"Male",8.878825247
1211,"alc_gday_cont",4672,"Veracruz de Ignacio de la Llave",1990,27,"Age-standardized",2,"Female",3.107390149
1211,"alc_gday_cont",4673,"Yucatán",1990,27,"Age-standardized",1,"Male",8.42404684
1211,"alc_gday_cont",4673,"Yucatán",1990,27,"Age-standardized",2,"Female",2.014937134
1211,"alc_gday_cont",4674,"Zacatecas",1990,27,"Age-standardized",1,"Male",2.896050233
1211,"alc_gday_cont",4674,"Zacatecas",1990,27,"Age-standardized",2,"Female",12.179054939
1211,"alc_gday_cont",130,"Mexico",1991,27,"Age-standardized",1,"Male",8.69835836
1211,"alc_gday_cont",130,"Mexico",1991,27,"Age-standardized",2,"Female",3.466007069
1211,"alc_gday_cont",4643,"Aguascalientes",1991,27,"Age-standardized",1,"Male",3.01364333
1211,"alc_gday_cont",4643,"Aguascalientes",1991,27,"Age-standardized",2,"Female",12.729516317
1211,"alc_gday_cont",4644,"Baja California",1991,27,"Age-standardized",1,"Male",12.335518551
1211,"alc_gday_cont",4644,"Baja California",1991,27,"Age-standardized",2,"Female",3.161316558
1211,"alc_gday_cont",4645,"Baja California Sur",1991,27,"Age-standardized",1,"Male",11.485729718
1211,"alc_gday_cont",4645,"Baja California Sur",1991,27,"Age-standardized",2,"Female",2.737672588
1211,"alc_gday_cont",4646,"Campeche",1991,27,"Age-standardized",1,"Male",16.847177629
1211,"alc_gday_cont",4646,"Campeche",1991,27,"Age-standardized",2,"Female",4.308073638
1211,"alc_gday_cont",4647,"Coahuila",1991,27,"Age-standardized",1,"Male",10.3926899401
1211,"alc_gday_cont",4647,"Coahuila",1991,27,"Age-standardized",2,"Female",2.4251032466
1211,"alc_gday_cont",4648,"Colima",1991,27,"Age-standardized",1,"Male",9.94424549
1211,"alc_gday_cont",4648,"Colima",1991,27,"Age-standardized",2,"Female",2.578290182
1211,"alc_gday_cont",4649,"Chiapas",1991,27,"Age-standardized",1,"Male",8.695664685
1211,"alc_gday_cont",4649,"Chiapas",1991,27,"Age-standardized",2,"Female",1.9498742914
1211,"alc_gday_cont",4650,"Chihuahua",1991,27,"Age-standardized",1,"Male",12.56585252
1211,"alc_gday_cont",4650,"Chihuahua",1991,27,"Age-standardized",2,"Female",5.136922857
1211,"alc_gday_cont",4651,"Mexico City",1991,27,"Age-standardized",1,"Male",6.84260251
1211,"alc_gday_cont",4651,"Mexico City",1991,27,"Age-standardized",2,"Female",1.948746995
1211,"alc_gday_cont",4652,"Durango",1991,27,"Age-standardized",1,"Male",10.778342565
1211,"alc_gday_cont",4652,"Durango",1991,27,"Age-standardized",2,"Female",2.749490838
1211,"alc_gday_cont",4653,"Guanajuato",1991,27,"Age-standardized",1,"Male",10.3870762791
1211,"alc_gday_cont",4653,"Guanajuato",1991,27,"Age-standardized",2,"Female",1.8689634565
1211,"alc_gday_cont",4654,"Guerrero",1991,27,"Age-standardized",1,"Male",1.966551148
1211,"alc_gday_cont",4654,"Guerrero",1991,27,"Age-standardized",2,"Female",8.27417588
1211,"alc_gday_cont",4655,"Hidalgo",1991,27,"Age-standardized",1,"Male",3.7762040305
1211,"alc_gday_cont",4655,"Hidalgo",1991,27,"Age-standardized",2,"Female",2.4865632423
1211,"alc_gday_cont",4656,"Jalisco",1991,27,"Age-standardized",1,"Male",9.458841991
1211,"alc_gday_cont",4656,"Jalisco",1991,27,"Age-standardized",2,"Female",2.527270317
1211,"alc_gday_cont",4657,"México",1991,27,"Age-standardized",1,"Male",6.6256107509
1211,"alc_gday_cont",4657,"México",1991,27,"Age-standardized",2,"Female",1.68542277
1211,"alc_gday_cont",4658,"Michoacán de Ocampo",1991,27,"Age-standardized",1,"Male",9.636438492
1211,"alc_gday_cont",4658,"Michoacán de Ocampo",1991,27,"Age-standardized",2,"Female",2.10164426
1211,"alc_gday_cont",4659,"Morelos",1991,27,"Age-standardized",1,"Male",5.6175610411
1211,"alc_gday_cont",4659,"Morelos",1991,27,"Age-standardized",2,"Female",1.6439562936
1211,"alc_gday_cont",4660,"Nayarit",1991,27,"Age-standardized",1,"Male",2.153123109
1211,"alc_gday_cont",4660,"Nayarit",1991,27,"Age-standardized",2,"Female",9.055584008
1211,"alc_gday_cont",4661,"Nuevo León",1991,27,"Age-standardized",1,"Male",11.693156455
1211,"alc_gday_cont",4661,"Nuevo León",1991,27,"Age-standardized",2,"Female",4.054775154
1211,"alc_gday_cont",4662,"Oaxaca",1991,27,"Age-standardized",1,"Male",19.169363368
1211,"alc_gday_cont",4662,"Oaxaca",1991,27,"Age-standardized",2,"Female",9.411482435
1211,"alc_gday_cont",4663,"Puebla",1991,27,"Age-standardized",1,"Male",5.367319725
1211,"alc_gday_cont",4663,"Puebla",1991,27,"Age-standardized",2,"Female",3.0242084342
1211,"alc_gday_cont",4664,"Querétaro",1991,27,"Age-standardized",1,"Male",9.5009068568
1211,"alc_gday_cont",4664,"Querétaro",1991,27,"Age-standardized",2,"Female",1.6866741009
1211,"alc_gday_cont",4665,"Quintana Roo",1991,27,"Age-standardized",1,"Male",2.246066178
1211,"alc_gday_cont",4665,"Quintana Roo",1991,27,"Age-standardized",2,"Female",9.460907353
1211,"alc_gday_cont",4666,"San Luis Potosí",1991,27,"Age-standardized",1,"Male",8.9096672659
1211,"alc_gday_cont",4666,"San Luis Potosí",1991,27,"Age-standardized",2,"Female",1.3856882872
1211,"alc_gday_cont",4667,"Sinaloa",1991,27,"Age-standardized",1,"Male",12.013372487
1211,"alc_gday_cont",4667,"Sinaloa",1991,27,"Age-standardized",2,"Female",2.707991937
1211,"alc_gday_cont",4668,"Sonora",1991,27,"Age-standardized",1,"Male",15.136510912
1211,"alc_gday_cont",4668,"Sonora",1991,27,"Age-standardized",2,"Female",4.05571254
1211,"alc_gday_cont",4669,"Tabasco",1991,27,"Age-standardized",1,"Male",11.186712651
1211,"alc_gday_cont",4669,"Tabasco",1991,27,"Age-standardized",2,"Female",2.512415034
1211,"alc_gday_cont",4670,"Tamaulipas",1991,27,"Age-standardized",1,"Male",8.336106567
1211,"alc_gday_cont",4670,"Tamaulipas",1991,27,"Age-standardized",2,"Female",4.700044577
1211,"alc_gday_cont",4671,"Tlaxcala",1991,27,"Age-standardized",1,"Male",3.972666043
