"covariate_id","covariate_name_short","location_id","location_name","year_id","age_group_id","age_group_name","sex_id","sex","mean_value"
914,"fruits_g_unadj",130,"Mexico",1990,22,"All Ages",3,"Both",252.91017
914,"fruits_g_unadj",4643,"Aguascalientes",1990,22,"All Ages",3,"Both",301.38293
914,"fruits_g_unadj",4644,"Baja California",1990,22,"All Ages",3,"Both",284.1752
914,"fruits_g_unadj",4645,"Baja California Sur",1990,22,"All Ages",3,"Both",316.3468
914,"fruits_g_unadj",4646,"Campeche",1990,22,"All Ages",3,"Both",228.91582
914,"fruits_g_unadj",4647,"Coahuila",1990,22,"All Ages",3,"Both",272.38272
914,"fruits_g_unadj",4648,"Colima",1990,22,"All Ages",3,"Both",263.34393
914,"fruits_g_unadj",4649,"Chiapas",1990,22,"All Ages",3,"Both",163.31775
914,"fruits_g_unadj",4650,"Chihuahua",1990,22,"All Ages",3,"Both",249.27185
914,"fruits_g_unadj",4651,"Mexico City",1990,22,"All Ages",3,"Both",293.27719
914,"fruits_g_unadj",4652,"Durango",1990,22,"All Ages",3,"Both",267.79483
914,"fruits_g_unadj",4653,"Guanajuato",1990,22,"All Ages",3,"Both",243.86382
914,"fruits_g_unadj",4654,"Guerrero",1990,22,"All Ages",3,"Both",192.80754
914,"fruits_g_unadj",4655,"Hidalgo",1990,22,"All Ages",3,"Both",213.55003
914,"fruits_g_unadj",4656,"Jalisco",1990,22,"All Ages",3,"Both",288.37192
914,"fruits_g_unadj",4657,"México",1990,22,"All Ages",3,"Both",272.8804
914,"fruits_g_unadj",4658,"Michoacán de Ocampo",1990,22,"All Ages",3,"Both",233.72243
914,"fruits_g_unadj",4659,"Morelos",1990,22,"All Ages",3,"Both",255.06956
914,"fruits_g_unadj",4660,"Nayarit",1990,22,"All Ages",3,"Both",238.62752
914,"fruits_g_unadj",4661,"Nuevo León",1990,22,"All Ages",3,"Both",322.50107
914,"fruits_g_unadj",4662,"Oaxaca",1990,22,"All Ages",3,"Both",198.52998
914,"fruits_g_unadj",4663,"Puebla",1990,22,"All Ages",3,"Both",225.66418
914,"fruits_g_unadj",4664,"Querétaro",1990,22,"All Ages",3,"Both",259.87091
914,"fruits_g_unadj",4665,"Quintana Roo",1990,22,"All Ages",3,"Both",248.14384
914,"fruits_g_unadj",4666,"San Luis Potosí",1990,22,"All Ages",3,"Both",215.76971
914,"fruits_g_unadj",4667,"Sinaloa",1990,22,"All Ages",3,"Both",287.31659
914,"fruits_g_unadj",4668,"Sonora",1990,22,"All Ages",3,"Both",275.89493
914,"fruits_g_unadj",4669,"Tabasco",1990,22,"All Ages",3,"Both",229.10925
914,"fruits_g_unadj",4670,"Tamaulipas",1990,22,"All Ages",3,"Both",284.84134
914,"fruits_g_unadj",4671,"Tlaxcala",1990,22,"All Ages",3,"Both",210.50323
914,"fruits_g_unadj",4672,"Veracruz de Ignacio de la Llave",1990,22,"All Ages",3,"Both",221.48906
914,"fruits_g_unadj",4673,"Yucatán",1990,22,"All Ages",3,"Both",259.42566
914,"fruits_g_unadj",4674,"Zacatecas",1990,22,"All Ages",3,"Both",221.54604
914,"fruits_g_unadj",130,"Mexico",1991,22,"All Ages",3,"Both",253.49623
914,"fruits_g_unadj",4643,"Aguascalientes",1991,22,"All Ages",3,"Both",301.06857
914,"fruits_g_unadj",4644,"Baja California",1991,22,"All Ages",3,"Both",284.3923
914,"fruits_g_unadj",4645,"Baja California Sur",1991,22,"All Ages",3,"Both",314.95972
914,"fruits_g_unadj",4646,"Campeche",1991,22,"All Ages",3,"Both",229.87515
914,"fruits_g_unadj",4647,"Coahuila",1991,22,"All Ages",3,"Both",273.95129
914,"fruits_g_unadj",4648,"Colima",1991,22,"All Ages",3,"Both",264.17355
914,"fruits_g_unadj",4649,"Chiapas",1991,22,"All Ages",3,"Both",165.49593
914,"fruits_g_unadj",4650,"Chihuahua",1991,22,"All Ages",3,"Both",251.31142
914,"fruits_g_unadj",4651,"Mexico City",1991,22,"All Ages",3,"Both",294.47119
914,"fruits_g_unadj",4652,"Durango",1991,22,"All Ages",3,"Both",267.60547
914,"fruits_g_unadj",4653,"Guanajuato",1991,22,"All Ages",3,"Both",245.04918
914,"fruits_g_unadj",4654,"Guerrero",1991,22,"All Ages",3,"Both",193.93512
914,"fruits_g_unadj",4655,"Hidalgo",1991,22,"All Ages",3,"Both",213.94154
914,"fruits_g_unadj",4656,"Jalisco",1991,22,"All Ages",3,"Both",288.27625
914,"fruits_g_unadj",4657,"México",1991,22,"All Ages",3,"Both",272.44849
914,"fruits_g_unadj",4658,"Michoacán de Ocampo",1991,22,"All Ages",3,"Both",234.40726
914,"fruits_g_unadj",4659,"Morelos",1991,22,"All Ages",3,"Both",255.17085
914,"fruits_g_unadj",4660,"Nayarit",1991,22,"All Ages",3,"Both",240.03014
914,"fruits_g_unadj",4661,"Nuevo León",1991,22,"All Ages",3,"Both",322.50101
914,"fruits_g_unadj",4662,"Oaxaca",1991,22,"All Ages",3,"Both",198.61084
914,"fruits_g_unadj",4663,"Puebla",1991,22,"All Ages",3,"Both",226.14308
914,"fruits_g_unadj",4664,"Querétaro",1991,22,"All Ages",3,"Both",260.98969
914,"fruits_g_unadj",4665,"Quintana Roo",1991,22,"All Ages",3,"Both",249.57353
914,"fruits_g_unadj",4666,"San Luis Potosí",1991,22,"All Ages",3,"Both",218.4953
914,"fruits_g_unadj",4667,"Sinaloa",1991,22,"All Ages",3,"Both",286.66562
914,"fruits_g_unadj",4668,"Sonora",1991,22,"All Ages",3,"Both",277.10388
914,"fruits_g_unadj",4669,"Tabasco",1991,22,"All Ages",3,"Both",229.00894
914,"fruits_g_unadj",4670,"Tamaulipas",1991,22,"All Ages",3,"Both",284.97058
914,"fruits_g_unadj",4671,"Tlaxcala",1991,22,"All Ages",3,"Both",211.62956
914,"fruits_g_unadj",4672,"Veracruz de Ignacio de la Llave",1991,22,"All Ages",3,"Both",222.02681
914,"fruits_g_unadj",4673,"Yucatán",1991,22,"All Ages",3,"Both",258.94736
914,"fruits_g_unadj",4674,"Zacatecas",1991,22,"All Ages",3,"Both",223.44525
914,"fruits_g_unadj",130,"Mexico",1992,22,"All Ages",3,"Both",256.20233
