"covariate_id","covariate_name_short","location_id","location_name","year_id","age_group_id","age_group_name","sex_id","sex","mean_value"
69,"mean_cholesterol",130,"Mexico",1990,27,"Age-standardized",1,"Male",4.98921153859
69,"mean_cholesterol",130,"Mexico",1990,27,"Age-standardized",2,"Female",5.10710496622
69,"mean_cholesterol",4643,"Aguascalientes",1990,27,"Age-standardized",1,"Male",5.22837602746
69,"mean_cholesterol",4643,"Aguascalientes",1990,27,"Age-standardized",2,"Female",5.25963025168
69,"mean_cholesterol",4644,"Baja California",1990,27,"Age-standardized",1,"Male",5.63942373568
69,"mean_cholesterol",4644,"Baja California",1990,27,"Age-standardized",2,"Female",5.89923166298
69,"mean_cholesterol",4645,"Baja California Sur",1990,27,"Age-standardized",1,"Male",5.4709796677
69,"mean_cholesterol",4645,"Baja California Sur",1990,27,"Age-standardized",2,"Female",5.58642694494
69,"mean_cholesterol",4646,"Campeche",1990,27,"Age-standardized",1,"Male",5.12088108901
69,"mean_cholesterol",4646,"Campeche",1990,27,"Age-standardized",2,"Female",5.35008502459
69,"mean_cholesterol",4647,"Coahuila",1990,27,"Age-standardized",1,"Male",4.65997073923
69,"mean_cholesterol",4647,"Coahuila",1990,27,"Age-standardized",2,"Female",4.9301370983
69,"mean_cholesterol",4648,"Colima",1990,27,"Age-standardized",1,"Male",5.34826255385
69,"mean_cholesterol",4648,"Colima",1990,27,"Age-standardized",2,"Female",5.66572103962
69,"mean_cholesterol",4649,"Chiapas",1990,27,"Age-standardized",1,"Male",5.13247252891
69,"mean_cholesterol",4649,"Chiapas",1990,27,"Age-standardized",2,"Female",5.25121989956
69,"mean_cholesterol",4650,"Chihuahua",1990,27,"Age-standardized",1,"Male",4.79384660048
69,"mean_cholesterol",4650,"Chihuahua",1990,27,"Age-standardized",2,"Female",4.9821889272
69,"mean_cholesterol",4651,"Mexico City",1990,27,"Age-standardized",1,"Male",4.94614402464
69,"mean_cholesterol",4651,"Mexico City",1990,27,"Age-standardized",2,"Female",5.00276120385
69,"mean_cholesterol",4652,"Durango",1990,27,"Age-standardized",1,"Male",5.05016266939
69,"mean_cholesterol",4652,"Durango",1990,27,"Age-standardized",2,"Female",5.22698238659
69,"mean_cholesterol",4653,"Guanajuato",1990,27,"Age-standardized",1,"Male",4.85702223154
69,"mean_cholesterol",4653,"Guanajuato",1990,27,"Age-standardized",2,"Female",4.9715054701
69,"mean_cholesterol",4654,"Guerrero",1990,27,"Age-standardized",1,"Male",4.56491139827
69,"mean_cholesterol",4654,"Guerrero",1990,27,"Age-standardized",2,"Female",4.82587250666
69,"mean_cholesterol",4655,"Hidalgo",1990,27,"Age-standardized",1,"Male",4.98836152144
69,"mean_cholesterol",4655,"Hidalgo",1990,27,"Age-standardized",2,"Female",5.00859145787
69,"mean_cholesterol",4656,"Jalisco",1990,27,"Age-standardized",1,"Male",5.05450638413
69,"mean_cholesterol",4656,"Jalisco",1990,27,"Age-standardized",2,"Female",5.18888968312
69,"mean_cholesterol",4657,"México",1990,27,"Age-standardized",1,"Male",5.08132037613
69,"mean_cholesterol",4657,"México",1990,27,"Age-standardized",2,"Female",5.1873654894
69,"mean_cholesterol",4658,"Michoacán de Ocampo",1990,27,"Age-standardized",1,"Male",4.7859885999
69,"mean_cholesterol",4658,"Michoacán de Ocampo",1990,27,"Age-standardized",2,"Female",5.00491676579
69,"mean_cholesterol",4659,"Morelos",1990,27,"Age-standardized",1,"Male",4.91483252261
69,"mean_cholesterol",4659,"Morelos",1990,27,"Age-standardized",2,"Female",4.9034202624
69,"mean_cholesterol",4660,"Nayarit",1990,27,"Age-standardized",1,"Male",4.92878071502
69,"mean_cholesterol",4660,"Nayarit",1990,27,"Age-standardized",2,"Female",4.95720533278
69,"mean_cholesterol",4661,"Nuevo León",1990,27,"Age-standardized",1,"Male",5.11826226282
69,"mean_cholesterol",4661,"Nuevo León",1990,27,"Age-standardized",2,"Female",5.24482736496
69,"mean_cholesterol",4662,"Oaxaca",1990,27,"Age-standardized",1,"Male",4.78451813385
69,"mean_cholesterol",4662,"Oaxaca",1990,27,"Age-standardized",2,"Female",4.76083459492
69,"mean_cholesterol",4663,"Puebla",1990,27,"Age-standardized",1,"Male",5.05194237397
69,"mean_cholesterol",4663,"Puebla",1990,27,"Age-standardized",2,"Female",5.11558488104
69,"mean_cholesterol",4664,"Querétaro",1990,27,"Age-standardized",1,"Male",5.00674116844
69,"mean_cholesterol",4664,"Querétaro",1990,27,"Age-standardized",2,"Female",5.08934355423
69,"mean_cholesterol",4665,"Quintana Roo",1990,27,"Age-standardized",1,"Male",5.06750910802
69,"mean_cholesterol",4665,"Quintana Roo",1990,27,"Age-standardized",2,"Female",5.33737540701
69,"mean_cholesterol",4666,"San Luis Potosí",1990,27,"Age-standardized",1,"Male",4.78597447939
69,"mean_cholesterol",4666,"San Luis Potosí",1990,27,"Age-standardized",2,"Female",4.9327593159
69,"mean_cholesterol",4667,"Sinaloa",1990,27,"Age-standardized",1,"Male",5.36936123794
69,"mean_cholesterol",4667,"Sinaloa",1990,27,"Age-standardized",2,"Female",5.51581442149
69,"mean_cholesterol",4668,"Sonora",1990,27,"Age-standardized",1,"Male",5.33862993654
69,"mean_cholesterol",4668,"Sonora",1990,27,"Age-standardized",2,"Female",5.45320646665
69,"mean_cholesterol",4669,"Tabasco",1990,27,"Age-standardized",1,"Male",4.92147671098
69,"mean_cholesterol",4669,"Tabasco",1990,27,"Age-standardized",2,"Female",5.12809953447
69,"mean_cholesterol",4670,"Tamaulipas",1990,27,"Age-standardized",1,"Male",5.29221844757
69,"mean_cholesterol",4670,"Tamaulipas",1990,27,"Age-standardized",2,"Female",5.54478864787
69,"mean_cholesterol",4671,"Tlaxcala",1990,27,"Age-standardized",1,"Male",4.93130816616
69,"mean_cholesterol",4671,"Tlaxcala",1990,27,"Age-standardized",2,"Female",5.02492621949
69,"mean_cholesterol",4672,"Veracruz de Ignacio de la Llave",1990,27,"Age-standardized",1,"Male",4.73178027046
69,"mean_cholesterol",4672,"Veracruz de Ignacio de la Llave",1990,27,"Age-standardized",2,"Female",4.83527871829
69,"mean_cholesterol",4673,"Yucatán",1990,27,"Age-standardized",1,"Male",5.02332086255
69,"mean_cholesterol",4673,"Yucatán",1990,27,"Age-standardized",2,"Female",5.23027817686
69,"mean_cholesterol",4674,"Zacatecas",1990,27,"Age-standardized",1,"Male",5.16855191073
69,"mean_cholesterol",4674,"Zacatecas",1990,27,"Age-standardized",2,"Female",5.19968923228
69,"mean_cholesterol",130,"Mexico",1991,27,"Age-standardized",1,"Male",4.99491768368
