"covariate_id","covariate_name_short","location_id","location_name","year_id","age_group_id","age_group_name","sex_id","sex","mean_value"
71,"mean_temperature",130,"Mexico",1990,22,"All Ages",3,"Both",19.253416971
71,"mean_temperature",4643,"Aguascalientes",1990,22,"All Ages",3,"Both",18.3275099898
71,"mean_temperature",4644,"Baja California",1990,22,"All Ages",3,"Both",17.7779348807
71,"mean_temperature",4645,"Baja California Sur",1990,22,"All Ages",3,"Both",21.8281082052
71,"mean_temperature",4646,"Campeche",1990,22,"All Ages",3,"Both",23.1053557661
71,"mean_temperature",4647,"Coahuila",1990,22,"All Ages",3,"Both",20.8134543367
71,"mean_temperature",4648,"Colima",1990,22,"All Ages",3,"Both",24.0663974876
71,"mean_temperature",4649,"Chiapas",1990,22,"All Ages",3,"Both",23.0591213018
71,"mean_temperature",4650,"Chihuahua",1990,22,"All Ages",3,"Both",17.3566165659
71,"mean_temperature",4651,"Mexico City",1990,22,"All Ages",3,"Both",14.1476648599
71,"mean_temperature",4652,"Durango",1990,22,"All Ages",3,"Both",17.5653185436
71,"mean_temperature",4653,"Guanajuato",1990,22,"All Ages",3,"Both",18.7180665213
71,"mean_temperature",4654,"Guerrero",1990,22,"All Ages",3,"Both",24.1768896113
71,"mean_temperature",4655,"Hidalgo",1990,22,"All Ages",3,"Both",17.4693305552
71,"mean_temperature",4656,"Jalisco",1990,22,"All Ages",3,"Both",20.6442333118
71,"mean_temperature",4657,"México",1990,22,"All Ages",3,"Both",14.8176881857
71,"mean_temperature",4658,"Michoacán de Ocampo",1990,22,"All Ages",3,"Both",19.6687797353
71,"mean_temperature",4659,"Morelos",1990,22,"All Ages",3,"Both",21.2593576981
71,"mean_temperature",4660,"Nayarit",1990,22,"All Ages",3,"Both",22.8416243556
71,"mean_temperature",4661,"Nuevo León",1990,22,"All Ages",3,"Both",22.0729500193
71,"mean_temperature",4662,"Oaxaca",1990,22,"All Ages",3,"Both",20.8388108021
71,"mean_temperature",4663,"Puebla",1990,22,"All Ages",3,"Both",18.1438237911
