"covariate_id","covariate_name_short","location_id","location_name","year_id","age_group_id","age_group_name","sex_id","sex","mean_value"
14,"cigarettes_pc",130,"Mexico",1990,22,"All Ages",3,"Both",989.815958329806
14,"cigarettes_pc",4643,"Aguascalientes",1990,22,"All Ages",3,"Both",1292.86781758505
14,"cigarettes_pc",4644,"Baja California",1990,22,"All Ages",3,"Both",1252.97670020009
14,"cigarettes_pc",4645,"Baja California Sur",1990,22,"All Ages",3,"Both",1229.13691034047
14,"cigarettes_pc",4646,"Campeche",1990,22,"All Ages",3,"Both",796.892531300168
14,"cigarettes_pc",4647,"Coahuila",1990,22,"All Ages",3,"Both",1125.66783343774
14,"cigarettes_pc",4648,"Colima",1990,22,"All Ages",3,"Both",1245.6391790569
14,"cigarettes_pc",4649,"Chiapas",1990,22,"All Ages",3,"Both",391.366138142676
14,"cigarettes_pc",4650,"Chihuahua",1990,22,"All Ages",3,"Both",1122.81723125408
14,"cigarettes_pc",4651,"Mexico City",1990,22,"All Ages",3,"Both",1375.23497424198
14,"cigarettes_pc",4652,"Durango",1990,22,"All Ages",3,"Both",951.507804203506
14,"cigarettes_pc",4653,"Guanajuato",1990,22,"All Ages",3,"Both",1179.61301480311
14,"cigarettes_pc",4654,"Guerrero",1990,22,"All Ages",3,"Both",586.909584117381
14,"cigarettes_pc",4655,"Hidalgo",1990,22,"All Ages",3,"Both",813.312309214373
14,"cigarettes_pc",4656,"Jalisco",1990,22,"All Ages",3,"Both",1350.85659043334
14,"cigarettes_pc",4657,"México",1990,22,"All Ages",3,"Both",1108.83756656214
14,"cigarettes_pc",4658,"Michoacán de Ocampo",1990,22,"All Ages",3,"Both",938.367017449182
14,"cigarettes_pc",4659,"Morelos",1990,22,"All Ages",3,"Both",923.071065526889
14,"cigarettes_pc",4660,"Nayarit",1990,22,"All Ages",3,"Both",1028.51439838945
14,"cigarettes_pc",4661,"Nuevo León",1990,22,"All Ages",3,"Both",1351.81752456022
14,"cigarettes_pc",4662,"Oaxaca",1990,22,"All Ages",3,"Both",510.010971670078
14,"cigarettes_pc",4663,"Puebla",1990,22,"All Ages",3,"Both",703.198071125502
14,"cigarettes_pc",4664,"Querétaro",1990,22,"All Ages",3,"Both",1180.78756894951
14,"cigarettes_pc",4665,"Quintana Roo",1990,22,"All Ages",3,"Both",783.566931701829
14,"cigarettes_pc",4666,"San Luis Potosí",1990,22,"All Ages",3,"Both",776.917956971505
14,"cigarettes_pc",4667,"Sinaloa",1990,22,"All Ages",3,"Both",884.211089690821
14,"cigarettes_pc",4668,"Sonora",1990,22,"All Ages",3,"Both",1360.67273490237
14,"cigarettes_pc",4669,"Tabasco",1990,22,"All Ages",3,"Both",556.161278297684
14,"cigarettes_pc",4670,"Tamaulipas",1990,22,"All Ages",3,"Both",845.483758731409
14,"cigarettes_pc",4671,"Tlaxcala",1990,22,"All Ages",3,"Both",721.044306271409
14,"cigarettes_pc",4672,"Veracruz de Ignacio de la Llave",1990,22,"All Ages",3,"Both",676.196773988732
14,"cigarettes_pc",4673,"Yucatán",1990,22,"All Ages",3,"Both",652.261750143334
14,"cigarettes_pc",4674,"Zacatecas",1990,22,"All Ages",3,"Both",856.292920641166
14,"cigarettes_pc",130,"Mexico",1991,22,"All Ages",3,"Both",952.846012355501
14,"cigarettes_pc",4643,"Aguascalientes",1991,22,"All Ages",3,"Both",1246.09389669454
14,"cigarettes_pc",4644,"Baja California",1991,22,"All Ages",3,"Both",1213.51829834533
14,"cigarettes_pc",4645,"Baja California Sur",1991,22,"All Ages",3,"Both",1197.88425769903
14,"cigarettes_pc",4646,"Campeche",1991,22,"All Ages",3,"Both",764.239890949124
14,"cigarettes_pc",4647,"Coahuila",1991,22,"All Ages",3,"Both",1093.73086249024
14,"cigarettes_pc",4648,"Colima",1991,22,"All Ages",3,"Both",1199.51900246979
14,"cigarettes_pc",4649,"Chiapas",1991,22,"All Ages",3,"Both",375.735209407942
14,"cigarettes_pc",4650,"Chihuahua",1991,22,"All Ages",3,"Both",1086.05340492794
14,"cigarettes_pc",4651,"Mexico City",1991,22,"All Ages",3,"Both",1320.67639160811
14,"cigarettes_pc",4652,"Durango",1991,22,"All Ages",3,"Both",922.07933049469
14,"cigarettes_pc",4653,"Guanajuato",1991,22,"All Ages",3,"Both",1134.54936860695
14,"cigarettes_pc",4654,"Guerrero",1991,22,"All Ages",3,"Both",562.305304617915
14,"cigarettes_pc",4655,"Hidalgo",1991,22,"All Ages",3,"Both",776.922098079432
14,"cigarettes_pc",4656,"Jalisco",1991,22,"All Ages",3,"Both",1298.85011370836
14,"cigarettes_pc",4657,"México",1991,22,"All Ages",3,"Both",1068.94650621756
14,"cigarettes_pc",4658,"Michoacán de Ocampo",1991,22,"All Ages",3,"Both",902.001324338624
14,"cigarettes_pc",4659,"Morelos",1991,22,"All Ages",3,"Both",885.318488881911
14,"cigarettes_pc",4660,"Nayarit",1991,22,"All Ages",3,"Both",988.835994785171
14,"cigarettes_pc",4661,"Nuevo León",1991,22,"All Ages",3,"Both",1306.57612954703
14,"cigarettes_pc",4662,"Oaxaca",1991,22,"All Ages",3,"Both",485.501118080606
14,"cigarettes_pc",4663,"Puebla",1991,22,"All Ages",3,"Both",672.768517411073
14,"cigarettes_pc",4664,"Querétaro",1991,22,"All Ages",3,"Both",1132.26814781884
14,"cigarettes_pc",4665,"Quintana Roo",1991,22,"All Ages",3,"Both",763.290844218551
14,"cigarettes_pc",4666,"San Luis Potosí",1991,22,"All Ages",3,"Both",744.867404057144
14,"cigarettes_pc",4667,"Sinaloa",1991,22,"All Ages",3,"Both",854.357946039352
14,"cigarettes_pc",4668,"Sonora",1991,22,"All Ages",3,"Both",1316.79456596077
14,"cigarettes_pc",4669,"Tabasco",1991,22,"All Ages",3,"Both",535.879052657584
14,"cigarettes_pc",4670,"Tamaulipas",1991,22,"All Ages",3,"Both",819.195167343721
